source_id,year_scope,session,paper,source_class,publisher,title,url,confidence,access_status,analysis_use,copyright_handling
OFF-EXAM,2026,current,exam_structure,official,中国计算机技术职业资格网,系统架构设计师考试说明,https://www.ruankao.org.cn/article/content/ksjs/03_03.html,A,public,确认三个科目与能力目标,只摘录事实不复制页面
OFF-BOOKS,2022-2026,current,books,official,中国计算机技术职业资格网,考试用书,https://www.ruankao.org.cn/book/main.html,A,public,确认新版大纲教程及2018至2022试题解析书目,仅记录书名ISBN和购买入口
OFF-2023-CBT,2023,H2,exam_change,official,黑龙江省人民政府,2023年下半年计算机软件资格考试报名通知,https://www.hlj.gov.cn/hlj/c107857/202308/c00_31663671.shtml,A,public,确认自2023下半年全面机考,只摘录制度事实
OFF-2023-CONTINUOUS,2023,H2,exam_change,official,南京市工业和信息化局,2023年下半年计算机软件资格考试南京考区安排,https://gxj.nanjing.gov.cn/njsjjhxxhwyh/202310/t20231019_4034708.html,A,public,确认首次机考阶段高级资格时长与连考方式,只摘录制度事实
OFF-2024-SZ,2024,H1+H2,exam_schedule,official,深圳市考试院,关于2024年度计算机软件资格考试有关事项的通知,https://hrss.sz.gov.cn/szksy/ztzl/zyjsks/zyjskslb/jsjrj1/zxksxx_89390/content/post_11208567.html,A,public,确认2024上下半年均安排系统架构设计师,只摘录制度事实
OFF-2024-BATCH,2024,H1,exam_structure,official,湖南省工业和信息化厅,2024年上半年计算机软件资格考试湖南考区批次安排,https://gxt.hunan.gov.cn/gxt/rkb/jsjtzgg/202405/t20240517_33305280.html,A,public,确认综合知识与案例连考及论文单独考试,只摘录制度事实
OFF-2025-SZ,2025,H1+H2,exam_schedule,official,深圳市考试院,2025年度计算机软件资格考试报考指引,https://hrss.sz.gov.cn/szksy/zwgk/bmxx/content/post_12080479.html,A,public,确认2025上下半年均安排系统架构设计师,只摘录制度事实
OFF-2026-PLAN,2026,H1+H2,exam_schedule,official,中国计算机技术职业资格网,2026年度计算机软件资格考试工作安排,https://www.ruankao.org.cn/article/content/2603051204118156470700001.html,A,public,确认2026全国考试安排,只摘录制度事实
OFF-2026-BATCH,2026,H1,exam_structure,official,中国计算机技术职业资格网,2026年上半年计算机软件资格考试批次安排,https://www.ruankao.org.cn/article/content/2604141656059313900690012.html,A,public,确认现行高级资格连考时长和论文时长,只摘录制度事实
SRC-2022-INDEX,2022,H2,all,training_site,希赛网,2022年系统架构设计师真题及答案解析索引,https://www.educity.cn/rk/2377439.html,C,index_or_login,作为2022回忆资料入口不据此统计题目,不下载不转载整卷
SRC-2023-INDEX,2023,H2,all,training_site,希赛网,2023下半年系统架构设计师真题及答案汇总,https://www.educity.cn/rk/5126126.html,C,index_or_login,作为2023回忆资料入口,不下载不转载整卷
SRC-2023-ESSAY,2023,H2,essay,candidate_recall,希赛网,2023年11月4日系统架构设计师论文题目回忆,https://www.educity.cn/rk/5224051.html,C,public,记录软件可靠性这一已公开题目标签,仅保存主题不保存题干
